Unweighted GPA,Number of AP/IB/CC Courses,Accepted
3.7,4,0
3.71,8,0
3.85,6,0
4,9,1
3.37,8,0
3.5,6,0
3.79,12,0
3.58,5,0
3.83,2,1
3.75,13,0
3.64,6,1
3.97,9,1
4,13,1
4,15,0
4,7,0
3.7,16,0
3.88,15,0
3.96,7,1
3.85,18,0
4,16,1
3.92,1,1
4,16,1
3.91,11,0
3.98,11,1
3.98,8,1
4,12,0
4,10,1
3.8,20,1
4,17,1
3.85,10,1
3.91,13,1
4,17,1
3.96,20,1
4,10,1
3.9,14,1
3.77,14,1
3.7,7,0
4,14,1
4,12,1
3.83,6,1
3.74,7,1
3.88,17,1
4,8,1
3.98,13,1
3.97,10,1
3.95,10,1
3.7,16,1
4,9,1
4,9,0
4,9,0
3.85,7,0
3.97,9,1
3.86,6,1
4,5,1
4,18,1
4,16,1
3.95,14,0
3.9,11,1
4,18,1
4,15,1
4,14,1
4,11,1
4,19,1
3.97,13,1
3.77,14,0
3.94,12,1
3.96,9,1
3.86,10,1
3.97,6,1
4,25,1
4,14,1
4,10,1
4,2,1
4,8,1
3.86,10,1
4,8,1
4,14,1
3.4,10,0
3.83,16,1
3.97,13,0
4,18,1
4,12,0
3.7,20,0
3.93,13,1
4,12,0
3.9,10,1
3.91,9,1
3.97,6,1
3.94,18,1
4,17,1
4,15,1
4,2,1
3.98,14,0
3.97,16,0
4,12,1
3.97,12,1
4,14,1
4,21,1
4,10,1
3.87,17,1
4,14,1
3.95,9,1
3.96,6,1
3.91,9,0
3.8,24,0
3.97,17,0
3.8,15,1
3.93,10,1
3.3,17,0
3.63,12,1
4,12,1
3.34,8,0
3.81,10,0
3.9,14,1
3.64,18,0
